Time Step;Label Index;Name (NA);MIL;SVD;Voxel count;Volume (mm³);Phi (°);Theta (°)
0;153;;3.3306690738754696e-16;nan;3.0;4.99125e-07;38.36866199584757;-45.0
0;154;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;135.0
0;155;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;135.00000000000003
0;156;;3.3306690738754696e-16;nan;3.0;4.99125e-07;61.84503376298989;-0.0
0;157;;3.3306690738754696e-16;nan;3.0;4.99125e-07;51.10000202090661;126.20602311300311
0;158;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;45.0
0;159;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;151.8450337629899
0;160;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;135.0
0;161;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;45.0
0;162;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;135.0
0;163;;3.3306690738754696e-16;nan;3.0;4.99125e-07;51.1000020209066;53.79397688699688
0;164;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;-135.00000000000003
0;165;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;135.00000000000003
0;166;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;135.0
0;167;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;45.00000000000003
0;168;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;90.0
0;169;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;-151.8450337629899
0;170;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;-135.00000000000003
0;171;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;45.00000000000003
0;172;;3.3306690738754696e-16;nan;3.0;4.99125e-07;45.000000000000014;90.0
0;173;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;0.0
0;174;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;45.0
0;175;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;135.0
0;176;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;44.999999999999986;44.99999999999998
0;177;;3.3306690738754696e-16;nan;4.0;6.654999999999999e-07;90.0;121.717474411461
